nombre,tipo_organizacion,municipio_codigo,municipio,direccion,barrio,lat,lng,responsable_nombre,telefono,instagram,horario_texto,necesita_urgente,recibe,no_recibe,notas,fuente_nombre,fuente_url
Plazoleta Jairo Varela,alcaldia,76001,Cali,Avenida 2 Norte #10 Norte-1,,3.4550187,-76.5348007,,,,Horario por confirmar,agua_embotellada;guantes_trabajo;colchonetas,agua_embotellada;no_perecederos;enlatados;granos;aceite;panela_azucar;colchonetas;cobijas;jabon;cepillo_crema_dental;papel_higienico;toallas_higienicas;panales_bebe;guantes_trabajo;botiquin,,"Frente al Centro Administrativo Municipal (CAM). Es el punto principal de la Alcaldía. Piden también cascos y gafas de seguridad, que no tienen categoría en UnAcopio. · SIN CONTACTO: conseguir teléfono o Instagram antes de poder verificar.","Alcaldía de Cali, vía Diario Occidente",https://occidente.co/cali/centros-de-acopio-en-cali-puntos-de-donacion-sismo/
Escuela Nacional del Deporte,alcaldia,76001,Cali,Calle 9 #34-01,,3.4265535,-76.536693,,,,Horario por confirmar,,agua_embotellada;no_perecederos;enlatados;granos;aceite;panela_azucar;colchonetas;cobijas;jabon;cepillo_crema_dental;papel_higienico;toallas_higienicas;panales_bebe;guantes_trabajo;botiquin,,Segundo punto habilitado por la Alcaldía junto con la Plazoleta Jairo Varela. · SIN CONTACTO: conseguir teléfono o Instagram antes de poder verificar.,"Alcaldía de Cali, vía Diario Occidente",https://occidente.co/cali/centros-de-acopio-en-cali-puntos-de-donacion-sismo/
Banco de Alimentos de Cali,fundacion,76001,Cali,Calle 24 #6-103,,3.4519988,-76.5325259,,,,Horario por confirmar,,no_perecederos;enlatados;granos;aceite;panela_azucar;agua_embotellada;botiquin,,"Recibe alimentos no perecederos, agua embotellada y elementos de primeros auxilios. · PIN SIN UBICAR: quedó en el centro de la ciudad, no en la dirección. Moverlo al editar. · SIN CONTACTO: conseguir teléfono o Instagram antes de poder verificar.",Infobae,https://www.infobae.com/colombia/2026/08/10/centros-de-acopio-habilitados-en-colombia-tras-el-terremoto-guia-por-ciudad-para-donar-y-ayudar-a-las-victimas/
Coliseo de Hockey Miguel Calero,alcaldia,76001,Cali,"Coliseo de Hockey Miguel Calero, Canchas Panamericanas",Unidad Deportiva Panamericana,3.4519988,-76.5325259,,,,Horario por confirmar,,agua_embotellada;no_perecederos;enlatados;granos;aceite;panela_azucar;colchonetas;cobijas;jabon;cepillo_crema_dental;papel_higienico;toallas_higienicas;panales_bebe;guantes_trabajo;botiquin,,"La Alcaldía lo habilitó el 11 de agosto como punto de atención en salud Y de acopio. FALTA LA NOMENCLATURA: la fuente da solo el nombre del escenario. · PIN SIN UBICAR: quedó en el centro de la ciudad, no en la dirección. Moverlo al editar. · SIN CONTACTO: conseguir teléfono o Instagram antes de poder verificar.","Alcaldía de Cali, vía Diario Occidente",https://occidente.co/cali/centros-de-acopio-en-cali-puntos-de-donacion-sismo/
Unidad Deportiva Jaime Aparicio,alcaldia,76001,Cali,Unidad Deportiva Jaime Aparicio,,3.4237953,-76.5363238,,,,Horario por confirmar,,agua_embotellada;no_perecederos;enlatados;granos;aceite;panela_azucar;colchonetas;cobijas;jabon;cepillo_crema_dental;papel_higienico;toallas_higienicas;panales_bebe;guantes_trabajo;botiquin,,FALTA LA NOMENCLATURA: la fuente da solo el nombre del escenario. · SIN CONTACTO: conseguir teléfono o Instagram antes de poder verificar.,"Alcaldía de Cali, vía Diario Occidente",https://occidente.co/cali/centros-de-acopio-en-cali-puntos-de-donacion-sismo/
La Casa del Pueblo,particular,76001,Cali,Carrera 9 #4-25,San Antonio,3.4474138,-76.5385434,,,,Horario por confirmar,,agua_embotellada;no_perecederos;enlatados;granos;aceite;panela_azucar;colchonetas;cobijas;jabon;cepillo_crema_dental;papel_higienico;toallas_higienicas;panales_bebe;guantes_trabajo;botiquin,,"Iniciativa ciudadana, no de la Alcaldía. La fuente la atribuye a la exconcejala Ana Erazo. · PIN APROXIMADO (ubicado por barrio, aproximado). Verificarlo al editar. · SIN CONTACTO: conseguir teléfono o Instagram antes de poder verificar.","Alcaldía de Cali, vía Diario Occidente",https://occidente.co/cali/centros-de-acopio-en-cali-puntos-de-donacion-sismo/
Todos Somos Valle — La Licorera,gobernacion,76001,Cali,Antigua Licorera del Valle,,3.4519988,-76.5325259,,,,Horario por confirmar,,agua_embotellada;no_perecederos;enlatados;granos;aceite;panela_azucar;colchonetas;cobijas;jabon;cepillo_crema_dental;papel_higienico;toallas_higienicas;panales_bebe;guantes_trabajo;botiquin,,"Campaña «Todos Somos Valle» de la Gobernación del Valle del Cauca. FALTA LA NOMENCLATURA. · PIN SIN UBICAR: quedó en el centro de la ciudad, no en la dirección. Moverlo al editar. · SIN CONTACTO: conseguir teléfono o Instagram antes de poder verificar.","Alcaldía de Cali, vía Diario Occidente",https://occidente.co/cali/centros-de-acopio-en-cali-puntos-de-donacion-sismo/
Ciudadela Petronio Álvarez,alcaldia,76001,Cali,Ciudadela Petronio Álvarez,,3.4519988,-76.5325259,,,,Horario por confirmar,,agua_embotellada;no_perecederos;enlatados;granos;aceite;panela_azucar;colchonetas;cobijas;jabon;cepillo_crema_dental;papel_higienico;toallas_higienicas;panales_bebe;guantes_trabajo;botiquin,,"FALTA LA NOMENCLATURA: la fuente da solo el nombre del sitio. · PIN SIN UBICAR: quedó en el centro de la ciudad, no en la dirección. Moverlo al editar. · SIN CONTACTO: conseguir teléfono o Instagram antes de poder verificar.","Alcaldía de Cali, vía Diario Occidente",https://occidente.co/cali/centros-de-acopio-en-cali-puntos-de-donacion-sismo/
Parque de la Caña,alcaldia,76001,Cali,Parque de la Caña,,3.4556831,-76.5079359,,,,Horario por confirmar,,agua_embotellada;no_perecederos;enlatados;granos;aceite;panela_azucar;colchonetas;cobijas;jabon;cepillo_crema_dental;papel_higienico;toallas_higienicas;panales_bebe;guantes_trabajo;botiquin,,FALTA LA NOMENCLATURA: la fuente da solo el nombre del parque. · SIN CONTACTO: conseguir teléfono o Instagram antes de poder verificar.,"Alcaldía de Cali, vía Diario Occidente",https://occidente.co/cali/centros-de-acopio-en-cali-puntos-de-donacion-sismo/
Oficina de Pastoral Social — Palmira,iglesia,76520,Palmira,Carrera 25 #36-39,,3.5308373,-76.2988048,,,,"Lunes a domingo, 8:00 a.m. a 12:00 m. y 2:00 p.m. a 6:00 p.m.",,no_perecederos;enlatados;granos;aceite;panela_azucar;agua_embotellada;jabon;cepillo_crema_dental;papel_higienico;toallas_higienicas;panales_bebe;botiquin;colchonetas,,"Cerca del Parque Obrero. Es el punto central de la campaña «Manos unidas, almas encendidas» de la Diócesis de Palmira. Los colchones tienen que ser nuevos. · PIN SIN UBICAR: quedó en el centro de la ciudad, no en la dirección. Moverlo al editar. · SIN CONTACTO: conseguir teléfono o Instagram antes de poder verificar.","Diócesis de Palmira y Alcaldía — campaña «Manos unidas, almas encendidas», vía El País",https://www.elpais.com.co/valle/palmira-adelanta-la-campana-de-donacion-manos-unidas-almas-encendidas-tras-terremoto-en-colombia-asi-puede-sumarse-1328.html
